Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
16.954,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-6314,-6314,OK
17.25,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-6314,-6314,OK
17.454,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-6314,-6314,OK
17.735,TraderOne,Tick,131,117,14,-14,146900,146900,1508,-5608,-5608,OK
17.985,TraderOne,Tick,141,117,24,-24,146600,146900,1802,-4902,-9702,OK
18.219,TraderOne,Tick,141,117,24,-24,146600,146900,1802,-4902,-9702,OK
18.5,TraderOne,Tick,141,117,24,-24,146600,147100,1802,-4902,-9702,OK
18.813,TraderOne,Tick,141,117,24,-24,146600,147100,1802,-4902,-9702,OK
19.047,TraderOne,Tick,141,117,24,-24,146600,147100,1802,-4902,-9702,OK
19.235,TraderOne,Tick,141,117,24,-24,146600,147100,1802,-4902,-9702,OK
19.516,TraderOne,Tick,141,117,24,-24,146600,147200,1802,-4902,-9702,OK
19.766,TraderOne,Tick,151,117,34,-34,146900,147200,2096,-3196,-9996,OK
20.047,TraderOne,Tick,151,117,34,-34,146900,147200,2096,-3196,-9996,OK
20.219,TraderOne,Tick,161,117,44,-44,146900,147200,2390,-490,-9290,OK
20.547,TraderOne,Tick,171,117,54,-54,146900,147900,2684,4216,-6584,OK
20.704,TraderOne,Tick,181,117,64,-64,147200,147900,2978,11922,-878,OK
21.016,TraderOne,Tick,181,127,54,-54,147500,147900,3273,5627,-5173,OK
21.219,TraderOne,Tick,181,137,44,-44,147600,147900,3568,2332,-6468,OK
21.547,TraderOne,Tick,181,143,38,-38,147600,147900,3745,-245,-7845,OK
21.75,TraderOne,Tick,181,143,38,-38,147600,147900,3745,-245,-7845,OK
21.954,TraderOne,Tick,181,143,38,-38,147600,148000,3745,-245,-7845,OK
22.25,TraderOne,Tick,191,143,48,-48,147700,148000,4040,2460,-7140,OK
22.454,TraderOne,Tick,191,143,48,-48,147700,148100,4040,2460,-7140,OK
22.704,TraderOne,Tick,191,143,48,-48,147700,148200,4040,2460,-7140,OK
23.0,TraderOne,Tick,201,143,58,-58,147700,148000,4335,6165,-5435,OK
23.219,TraderOne,Tick,201,143,58,-58,147700,148000,4335,6165,-5435,OK
23.469,TraderOne,Tick,201,153,48,-48,147400,147700,4630,2870,-6730,OK
23.75,TraderOne,Tick,201,153,48,-48,147400,147700,4630,2870,-6730,OK
23.985,TraderOne,Tick,201,153,48,-48,147400,147700,4630,2870,-6730,OK
24.219,TraderOne,Tick,201,153,48,-48,147400,147700,4630,2870,-6730,OK
24.454,TraderOne,Tick,201,153,48,-48,147400,147700,4630,2870,-6730,OK
24.797,TraderOne,Tick,211,153,58,-58,147400,148100,4925,6575,-5025,OK
25.0,TraderOne,Tick,211,153,58,-58,147400,148100,4925,6575,-5025,OK
25.266,TraderOne,Tick,221,153,68,-68,147700,148200,5220,11280,-2320,OK
25.469,TraderOne,Tick,221,163,58,-58,147600,147900,5515,4985,-6615,OK
25.75,TraderOne,Tick,221,170,51,-51,147600,147900,5412,1588,-8612,OK
26.032,TraderOne,Tick,221,170,51,-51,147600,147900,5412,1588,-8612,OK
26.219,TraderOne,Tick,221,170,51,-51,147600,147900,5412,1588,-8612,OK
26.454,TraderOne,Tick,221,170,51,-51,147400,147900,5412,1588,-8612,OK
26.766,TraderOne,Tick,221,170,51,-51,147400,147900,5412,1588,-8612,OK
27.047,TraderOne,Tick,221,170,51,-51,147400,147900,5412,1588,-8612,OK
27.204,TraderOne,Tick,231,170,61,-61,147400,147900,5265,6735,-5465,OK
27.454,TraderOne,Tick,231,170,61,-61,147400,147900,5265,6735,-5465,OK
27.735,TraderOne,Tick,231,170,61,-61,147400,147900,5265,6735,-5465,OK
28.016,TraderOne,Tick,241,180,61,-61,147200,147800,5413,4587,-7613,OK
28.297,TraderOne,Tick,241,190,51,-51,147700,147800,5707,-1707,-6807,OK
28.485,TraderOne,Tick,241,190,51,-51,147700,147800,5707,-1707,-6807,OK
28.797,TraderOne,Tick,241,190,51,-51,147700,147600,5707,-1707,3393,OK
29.0,TraderOne,Tick,241,190,51,-51,147700,147600,5707,-1707,3393,OK
29.235,TraderOne,Tick,241,190,51,-51,147700,147600,5707,-1707,3393,OK
29.532,TraderOne,Tick,241,190,51,-51,147700,147600,5707,-1707,3393,OK
29.797,TraderOne,Tick,241,200,41,-41,147100,147600,6001,-5001,-13201,OK
30.016,TraderOne,Tick,241,210,31,-31,147700,147600,5854,-8854,-5754,OK
30.25,TraderOne,Tick,241,210,31,-31,147700,147600,5854,-8854,-5754,OK
30.454,TraderOne,Tick,241,210,31,-31,147700,147600,5854,-8854,-5754,OK
30.782,TraderOne,Tick,241,210,31,-31,147700,147400,5854,-8854,-2654,OK
30.969,TraderOne,Tick,251,210,41,-41,147000,147400,6148,-6148,-14348,OK
31.297,TraderOne,Tick,261,210,51,-51,147000,147400,6442,-2442,-12642,OK
31.547,TraderOne,Tick,261,210,51,-51,147000,147400,6442,-2442,-12642,OK
31.704,TraderOne,Tick,261,210,51,-51,147000,147400,6442,-2442,-12642,OK
32.0,TraderOne,Tick,271,210,61,-61,147000,147400,6295,2705,-9495,OK
32.25,TraderOne,Tick,271,210,61,-61,147000,147400,6295,2705,-9495,OK
32.454,TraderOne,Tick,271,220,51,-51,147100,147400,6589,-3589,-13789,OK
32.797,TraderOne,Tick,271,220,51,-51,147100,147600,6589,-3589,-13789,OK
32.985,TraderOne,Tick,271,220,51,-51,147100,147600,6589,-3589,-13789,OK
33.25,TraderOne,Tick,271,230,41,-41,146900,147600,6883,-8883,-17083,OK
33.5,TraderOne,Tick,271,230,41,-41,146900,147600,6883,-8883,-17083,OK
33.735,TraderOne,Tick,271,240,31,-31,146900,147600,7177,-13177,-19377,OK
34.0,TraderOne,Tick,271,240,31,-31,146900,147600,7177,-13177,-19377,OK
34.266,TraderOne,Tick,271,240,31,-31,146900,147200,7177,-13177,-19377,OK
34.532,TraderOne,Tick,271,240,31,-31,146900,147200,7177,-13177,-19377,OK
34.813,TraderOne,Tick,271,240,31,-31,146900,147200,7177,-13177,-19377,OK
35.016,TraderOne,Tick,271,240,31,-31,146900,147200,7177,-13177,-19377,OK
35.204,TraderOne,Tick,271,240,31,-31,146900,147300,7177,-13177,-19377,OK
35.516,TraderOne,Tick,271,250,21,-21,147100,147000,7030,-18030,-15930,OK
35.719,TraderOne,Tick,271,260,11,-11,147200,147000,7324,-18324,-16124,OK
35.954,TraderOne,Tick,271,260,11,-11,147200,147000,7324,-18324,-16124,OK
36.25,TraderOne,Tick,271,260,11,-11,147200,147000,7324,-18324,-16124,OK
36.516,TraderOne,Tick,271,267,4,-4,147200,147000,7530,-19230,-18430,OK
36.75,TraderOne,Tick,271,267,4,-4,147200,147000,7530,-19230,-18430,OK
37.032,TraderOne,Tick,271,267,4,-4,147200,147000,7530,-19230,-18430,OK
37.25,TraderOne,Tick,271,267,4,-4,147200,147000,7530,-19230,-18430,OK
37.454,TraderOne,Tick,271,267,4,-4,147200,147300,7530,-19230,-19630,OK
37.766,TraderOne,Tick,271,267,4,-4,147200,147300,7530,-19230,-19630,OK
37.969,TraderOne,Tick,271,267,4,-4,147200,147300,7530,-19230,-19630,OK
38.219,TraderOne,Tick,271,267,4,-4,147200,147300,7530,-19230,-19630,OK
38.485,TraderOne,Tick,271,267,4,-4,147200,147300,7530,-19230,-19630,OK
38.735,TraderOne,Tick,271,267,4,-4,147200,147300,7530,-19230,-19630,OK
38.954,TraderOne,Tick,281,267,14,-14,147500,147300,7825,-19525,-16725,OK
39.204,TraderOne,Tick,291,267,24,-24,147000,147300,7678,-18378,-23178,OK
39.532,TraderOne,Tick,291,277,14,-14,147700,147300,7530,-19230,-16430,OK
39.75,TraderOne,Tick,291,277,14,-14,147700,147300,7530,-19230,-16430,OK
40.047,TraderOne,Tick,291,277,14,-14,147700,147300,7530,-19230,-16430,OK
40.204,TraderOne,Tick,291,277,14,-14,147700,147300,7530,-19230,-16430,OK
40.454,TraderOne,Tick,291,287,4,-4,147800,147300,7383,-19083,-18283,OK
40.782,TraderOne,Tick,291,287,4,-4,147800,147300,7383,-19083,-18283,OK
41.0,TraderOne,Tick,291,287,4,-4,147800,147300,7383,-19083,-18283,OK
41.25,TraderOne,Tick,291,287,4,-4,147800,147300,7383,-19083,-18283,OK
41.547,TraderOne,Tick,291,287,4,-4,147800,147300,7383,-19083,-18283,OK
41.766,TraderOne,Tick,291,287,4,-4,147800,147300,7383,-19083,-18283,OK
41.985,TraderOne,Tick,291,287,4,-4,147800,147300,7383,-19083,-18283,OK
42.25,TraderOne,Tick,291,295,-4,4,147500,147200,7265,-18165,-18965,OK
42.547,TraderOne,Tick,291,295,-4,4,147500,147200,7265,-18165,-18965,OK
42.719,TraderOne,Tick,291,295,-4,4,147500,147200,7265,-18165,-18965,OK
43.047,TraderOne,Tick,291,295,-4,4,147500,147200,7265,-18165,-18965,OK
43.204,TraderOne,Tick,291,295,-4,4,147500,147200,7265,-18165,-18965,OK
43.5,TraderOne,Tick,291,295,-4,4,147500,147200,7265,-18165,-18965,OK
43.766,TraderOne,Tick,291,295,-4,4,147500,147400,7265,-18165,-18565,OK
44.047,TraderOne,Tick,291,295,-4,4,147500,147400,7265,-18165,-18565,OK
44.297,TraderOne,Tick,291,295,-4,4,147500,147400,7265,-18165,-18565,OK
44.485,TraderOne,Tick,291,295,-4,4,147500,147400,7265,-18165,-18565,OK
44.75,TraderOne,Tick,291,295,-4,4,147500,147400,7265,-18165,-18565,OK
44.954,TraderOne,Tick,291,295,-4,4,147700,147400,7265,-18165,-18965,OK
45.204,TraderOne,Tick,291,295,-4,4,147700,147500,7265,-18165,-18965,OK
45.469,TraderOne,Tick,291,295,-4,4,147700,147500,7265,-18165,-18965,OK
45.704,TraderOne,Tick,291,305,-14,14,147400,147500,7560,-17460,-16060,OK
46.032,TraderOne,Tick,291,305,-14,14,147400,147500,7560,-17460,-16060,OK
46.25,TraderOne,Tick,291,305,-14,14,147400,147500,7560,-17460,-16060,OK
46.469,TraderOne,Tick,291,305,-14,14,147400,147500,7560,-17460,-16060,OK
46.704,TraderOne,Tick,291,305,-14,14,147400,147500,7560,-17460,-16060,OK
47.047,TraderOne,Tick,291,305,-14,14,147400,147500,7560,-17460,-16060,OK
47.204,TraderOne,Tick,291,305,-14,14,147400,147500,7560,-17460,-16060,OK
47.5,TraderOne,Tick,291,305,-14,14,147400,147500,7560,-17460,-16060,OK
47.704,TraderOne,Tick,291,315,-24,24,147700,147500,7412,-15312,-20112,OK
47.954,TraderOne,Tick,291,315,-24,24,147700,147500,7412,-15312,-20112,OK
48.204,TraderOne,Tick,291,315,-24,24,147700,147500,7412,-15312,-20112,OK
48.532,TraderOne,Tick,294,315,-21,21,147300,147500,7368,-16168,-11968,OK
48.797,TraderOne,Tick,294,315,-21,21,147300,147500,7368,-16168,-11968,OK
49.063,TraderOne,Tick,294,315,-21,21,147300,147500,7368,-16168,-11968,OK
49.25,TraderOne,Tick,294,315,-21,21,147300,147500,7368,-16168,-11968,OK
49.5,TraderOne,Tick,304,315,-11,11,147700,147500,7663,-19463,-21663,OK
49.704,TraderOne,Tick,304,315,-11,11,147700,147500,7663,-19463,-21663,OK
50.047,TraderOne,Tick,304,315,-11,11,147700,147500,7663,-19463,-21663,OK
50.235,TraderOne,Tick,304,315,-11,11,147700,147500,7663,-19463,-21663,OK
50.454,TraderOne,Tick,304,325,-21,21,147900,147500,7515,-17315,-21515,OK
50.797,TraderOne,Tick,304,325,-21,21,147900,147500,7515,-17315,-21515,OK
51.0,TraderOne,Tick,304,325,-21,21,147900,147500,7515,-17315,-21515,OK
51.204,TraderOne,Tick,304,325,-21,21,147900,147500,7515,-17315,-21515,OK
51.469,TraderOne,Tick,304,325,-21,21,147900,147500,7515,-17315,-21515,OK
51.75,TraderOne,Tick,304,325,-21,21,147900,147500,7515,-17315,-21515,OK
52.032,TraderOne,Tick,304,325,-21,21,147900,147300,7515,-17315,-21515,OK
52.235,TraderOne,Tick,304,325,-21,21,147900,147300,7515,-17315,-21515,OK
52.547,TraderOne,Tick,304,325,-21,21,147900,147300,7515,-17315,-21515,OK
52.797,TraderOne,Tick,304,325,-21,21,147900,147300,7515,-17315,-21515,OK
53.016,TraderOne,Tick,304,325,-21,21,147900,147300,7515,-17315,-21515,OK
53.297,TraderOne,Tick,304,325,-21,21,147900,147300,7515,-17315,-21515,OK
53.469,TraderOne,Tick,304,325,-21,21,147900,147300,7515,-17315,-21515,OK
53.782,TraderOne,Tick,304,325,-21,21,147900,147300,7515,-17315,-21515,OK
53.969,TraderOne,Tick,304,325,-21,21,147900,147300,7515,-17315,-21515,OK
54.266,TraderOne,Tick,304,325,-21,21,147900,147300,7515,-17315,-21515,OK
54.469,TraderOne,Tick,304,325,-21,21,147900,147200,7515,-17315,-21515,OK
54.704,TraderOne,Tick,304,325,-21,21,147900,147200,7515,-17315,-21515,OK
55.047,TraderOne,Tick,304,325,-21,21,147900,147200,7515,-17315,-21515,OK
55.297,TraderOne,Tick,314,325,-11,11,147300,147300,7368,-19168,-19168,OK
55.532,TraderOne,Tick,314,325,-11,11,147300,146900,7368,-19168,-21368,OK
55.75,TraderOne,Tick,324,335,-11,11,147300,146900,7516,-22316,-24516,OK
56.016,TraderOne,Tick,324,344,-20,20,147300,147100,7781,-20781,-24781,OK
56.297,TraderOne,Tick,324,344,-20,20,147300,147100,7781,-20781,-24781,OK
56.454,TraderOne,Tick,324,344,-20,20,147300,147100,7781,-20781,-24781,OK
56.797,TraderOne,Tick,324,344,-20,20,147300,147100,7781,-20781,-24781,OK
57.0,TraderOne,Tick,324,354,-30,30,147100,147100,8075,-19075,-19075,OK
57.266,TraderOne,Tick,324,354,-30,30,147100,147100,8075,-19075,-19075,OK
57.547,TraderOne,Tick,324,354,-30,30,147100,146700,8075,-19075,-25075,OK
57.704,TraderOne,Tick,324,362,-38,38,147100,146700,8310,-16910,-24510,OK
58.047,TraderOne,Tick,324,362,-38,38,147100,146600,8310,-16910,-24510,OK
58.297,TraderOne,Tick,324,362,-38,38,147100,146700,8310,-16910,-24510,OK
58.532,TraderOne,Tick,324,362,-38,38,147100,146700,8310,-16910,-24510,OK
58.704,TraderOne,Tick,324,362,-38,38,147100,146700,8310,-16910,-24510,OK
59.0,TraderOne,Tick,324,362,-38,38,147100,146700,8310,-16910,-24510,OK
59.25,TraderOne,Tick,324,372,-48,48,147000,146700,8604,-13204,-22804,OK
59.547,TraderOne,Tick,324,372,-48,48,147000,146500,8604,-13204,-22804,OK
59.704,TraderOne,Tick,324,372,-48,48,147000,146500,8604,-13204,-22804,OK
60.047,TraderOne,Tick,324,372,-48,48,147000,146500,8604,-13204,-22804,OK
60.219,TraderOne,Tick,324,372,-48,48,147000,146700,8604,-13204,-22804,OK
60.547,TraderOne,Tick,324,372,-48,48,147000,146700,8604,-13204,-22804,OK
60.766,TraderOne,Tick,324,372,-48,48,147000,146500,8604,-13204,-22804,OK
60.954,TraderOne,Tick,324,372,-48,48,147000,146500,8604,-13204,-22804,OK
61.219,TraderOne,Tick,324,372,-48,48,147000,146500,8604,-13204,-22804,OK
61.516,TraderOne,Tick,324,372,-48,48,147000,146500,8604,-13204,-22804,OK
61.75,TraderOne,Tick,324,372,-48,48,147000,146500,8604,-13204,-22804,OK
62.016,TraderOne,Tick,324,372,-48,48,147000,146500,8604,-13204,-22804,OK
62.204,TraderOne,Tick,324,372,-48,48,147000,146500,8604,-13204,-22804,OK
62.454,TraderOne,Tick,324,382,-58,58,146800,146300,8898,-7498,-19098,OK
62.766,TraderOne,Tick,334,382,-48,48,146700,146300,9192,-13792,-23392,OK
63.016,TraderOne,Tick,334,382,-48,48,146700,146300,9192,-13792,-23392,OK
63.204,TraderOne,Tick,334,382,-48,48,146700,146300,9192,-13792,-23392,OK
63.547,TraderOne,Tick,334,382,-48,48,146700,146300,9192,-13792,-23392,OK
63.75,TraderOne,Tick,334,382,-48,48,146700,146300,9192,-13792,-23392,OK
64.0,TraderOne,Tick,334,382,-48,48,146700,146300,9192,-13792,-23392,OK
64.25,TraderOne,Tick,344,382,-38,38,146700,146300,9486,-17086,-24686,OK
64.516,TraderOne,Tick,344,382,-38,38,146700,146300,9486,-17086,-24686,OK
64.75,TraderOne,Tick,344,382,-38,38,146700,146300,9486,-17086,-24686,OK
64.985,TraderOne,Tick,344,382,-38,38,146700,146300,9486,-17086,-24686,OK
65.204,TraderOne,Tick,344,382,-38,38,146700,146900,9486,-17086,-9486,OK
65.547,TraderOne,Tick,344,382,-38,38,146700,146900,9486,-17086,-9486,OK
65.797,TraderOne,Tick,344,382,-38,38,146700,146900,9486,-17086,-9486,OK
65.954,TraderOne,Tick,354,382,-28,28,146600,146900,9339,-20939,-15339,OK
66.219,TraderOne,Tick,354,382,-28,28,146600,146900,9339,-20939,-15339,OK
66.454,TraderOne,Tick,354,392,-38,28,147300,146900,9192,1451208,-25392,OK
66.766,TraderOne,Tick,364,392,-28,38,146500,146900,9045,-1486645,-12045,OK
66.954,TraderOne,Tick,364,392,-28,28,146500,146900,9045,-19645,-14045,OK
67.25,TraderOne,Tick,364,392,-28,28,146500,146900,9045,-19645,-14045,OK
67.516,TraderOne,Tick,374,392,-18,18,146900,146900,8898,-21498,-21498,OK
67.797,TraderOne,Tick,384,392,-8,8,146900,146900,9192,-23792,-23792,OK
67.954,TraderOne,Tick,384,392,-8,8,146900,146900,9192,-23792,-23792,OK
68.235,TraderOne,Tick,384,402,-18,18,146900,146900,9045,-23645,-23645,OK
68.5,TraderOne,Tick,394,412,-18,18,146500,146900,9192,-22792,-19192,OK
68.782,TraderOne,Tick,394,412,-18,18,146500,147200,9192,-22792,-19192,OK
69.016,TraderOne,Tick,394,412,-18,18,146500,147200,9192,-22792,-19192,OK
69.25,TraderOne,Tick,394,422,-28,28,147500,147200,9045,-20645,-26245,OK
69.516,TraderOne,Tick,394,422,-28,28,147500,147200,9045,-20645,-26245,OK
69.797,TraderOne,Tick,394,422,-28,28,147500,147300,9045,-20645,-26245,OK
69.954,TraderOne,Tick,394,422,-28,28,147500,147300,9045,-20645,-26245,OK
70.25,TraderOne,Tick,394,422,-28,28,147500,147300,9045,-20645,-26245,OK
70.454,TraderOne,Tick,394,422,-28,28,147500,147300,9045,-20645,-26245,OK
70.782,TraderOne,Tick,404,422,-18,18,146500,147300,8898,-23498,-19898,OK
70.985,TraderOne,Tick,404,422,-18,18,146500,147300,8898,-23498,-19898,OK
71.297,TraderOne,Tick,404,422,-18,18,146500,147300,8898,-23498,-19898,OK
71.5,TraderOne,Tick,404,422,-18,18,146500,147300,8898,-23498,-19898,OK
71.735,TraderOne,Tick,404,422,-18,18,146500,147300,8898,-23498,-19898,OK
72.0,TraderOne,Tick,404,422,-18,18,146500,147300,8898,-23498,-19898,OK
72.219,TraderOne,Tick,404,422,-18,18,146500,147300,8898,-23498,-19898,OK
72.547,TraderOne,Tick,404,432,-28,28,147500,147300,8750,-22350,-27950,OK
72.797,TraderOne,Tick,404,432,-28,28,147500,147300,8750,-22350,-27950,OK
73.0,TraderOne,Tick,404,432,-28,28,147600,147300,8750,-22350,-27950,OK
73.235,TraderOne,Tick,404,432,-28,28,147600,147300,8750,-22350,-27950,OK
73.485,TraderOne,Tick,404,432,-28,28,147600,147200,8750,-22350,-27950,OK
73.75,TraderOne,Tick,404,432,-28,28,147600,147200,8750,-22350,-27950,OK
74.016,TraderOne,Tick,414,432,-18,18,147600,147200,9045,-25645,-29245,OK
74.204,TraderOne,Tick,424,432,-8,8,147600,147200,9340,-27940,-29540,OK
74.454,TraderOne,Tick,424,432,-8,8,147600,147200,9340,-27940,-29540,OK
74.797,TraderOne,Tick,424,442,-18,18,147500,147200,9635,-27235,-30835,OK
75.016,TraderOne,Tick,424,452,-28,28,147500,147200,9930,-26530,-32130,OK
75.266,TraderOne,Tick,424,452,-28,28,147500,147400,9930,-26530,-29330,OK
75.5,TraderOne,Tick,424,452,-28,28,147500,147400,9930,-26530,-29330,OK
75.797,TraderOne,Tick,434,452,-18,18,147600,147400,10225,-29825,-33425,OK
76.032,TraderOne,Tick,434,452,-18,18,147600,147400,10225,-29825,-33425,OK
76.329,TraderOne,Tick,434,452,-18,18,147600,147400,10225,-29825,-33425,OK
76.516,TraderOne,Tick,444,452,-8,8,147600,147500,10520,-31120,-31920,OK
76.797,TraderOne,Tick,454,452,2,-2,147600,147600,10815,-32415,-32415,OK
76.985,TraderOne,Tick,454,452,2,-2,147600,147600,10815,-32415,-32415,OK
77.297,TraderOne,Tick,454,462,-8,8,147500,147600,11110,-31710,-30910,OK
77.516,TraderOne,Tick,454,472,-18,18,147500,147600,11405,-31005,-29205,OK
77.782,TraderOne,Tick,464,472,-8,8,147400,147600,11258,-32858,-31258,OK
78.016,TraderOne,Tick,464,472,-8,8,147400,147600,11258,-32858,-31258,OK
78.235,TraderOne,Tick,464,472,-8,8,147400,147600,11258,-32858,-31258,OK
78.516,TraderOne,Tick,464,472,-8,8,147400,147600,11258,-32858,-31258,OK
78.735,TraderOne,Tick,464,472,-8,8,147400,147600,11258,-32858,-31258,OK
79.032,TraderOne,Tick,474,472,2,-2,147400,147600,11553,-34153,-34553,OK
79.266,TraderOne,Tick,484,472,12,-12,147400,147600,11848,-32448,-34848,OK
79.547,TraderOne,Tick,494,472,22,-22,147400,147600,12143,-30743,-35143,OK
79.797,TraderOne,Tick,504,472,32,-32,147600,148500,12438,-26038,-32438,OK
79.954,TraderOne,Tick,514,472,42,-42,147900,148400,12734,-21334,-29734,OK
80.297,TraderOne,Tick,514,472,42,-42,147900,148400,12734,-21334,-29734,OK
80.469,TraderOne,Tick,524,472,52,-52,147900,148400,13030,-17630,-28030,OK
80.766,TraderOne,Tick,524,472,52,-52,147900,148400,13030,-17630,-28030,OK
81.016,TraderOne,Tick,524,472,52,-52,147900,148400,13030,-17630,-28030,OK
